,
Master Bedroom,"Teak floors, fixed headboards with custom artwork and wall mounted reading lamps, walk-in closets, make-up/writing desk, TV with DVD and satellite connection."
Master Bathroom,"Marble floors, marble counter to vanities, W/C, single vanity with built-in cabinet below, indoor & open-air showers"
Bedroom 2,"Teak floors, fixed headboards with custom artwork and wall lamps, walk-in closets"
Bathroom 2,"Marble floors, marble counter to vanities, W/C, single vanity with built-in cabinet below, indoor & open-air showers"
Bedroom 3,"Teak floors, fixed headboards with custom artwork and wall lamps, walk-in closets."
Bathroom 3,"Marble floors, marble counter to vanities, W/C, single vanity with built-in cabinet below, indoor & open-air showers"
Bedroom 4,"Teak floors, fixed headboards with custom artwork and wall lamps, walk-in closets."
Bathroom 4,"Marble floors, marble counter to vanities, W/C, single vanity with built-in cabinet below, indoor & open-air showers"
Living/Dining Room,"Marble floors, exposed timber ceilings, teak fretwork to wall with built-in consoles/shelves, adjoining powder room with WC and vanity. 50 inch LCD TV with DVD and satellite connection"
Kitchen,Fantastical appointed European style kitchen with full Siemens appliances
Open-Air Lounge,"Marble floors, exposed timber ceilings, built-in bar counter with sink and electrical for under-counter fridge"
Sala,Thai style sala (gazebo) with loose furniture and diner seating for six ceiling mounted fans with massage day bed
Pool,"In-ground pool, sandstone coping over surround overflow drain, steps and pedestal at shallow end, salt water chlorination, depth 900mm to 1600mm"
Outdoor Toliet,"Direct access from garden, WC and vanity"
Outdoor Veranda,"Adjacent to living area with bar fridge, sink and stereo system with ceiling mounted speakers IPOD and laptop compatible"
Walkways,Terra-cotta sand wash walkways under exposed timber ceiling
Parking,Private parking for one vehicle at villa entrance
Entrace,Double antique style hardwood doors
Garden Shower,Outdoor garden shower on stone wall adjacent to beach access
Beach Access,Stone beach wall frontage with direct beach access
Ceiling Fans,"To all bedrooms, living room, open-air lounge and sala"
Air Conditioning,"To all bedrooms, kitchen, dining room and living room"
Villa General Specifications,"Bathroom amenities. 100% cotton robes and slippers, mini safes, large golf umbrellas, international electrical adapters, hair dryer and torch."
Estate General Specifications,Uninterrupted free wireless internet service. 100% Generator back up with automated switch over. Motion sensor infra-red cameras on all external boundaries. Monitored 24/7. Evening guard patrol from 7:00pm ? 7:00am.
